x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,-0.3,0.4,0.710471,0.667256,0.222215,-0.0249101,1.803,1.54614,1.3962,2.49857,-0.527968,-0.797727,-0.174677,
-0.2,-0.3,0.4,0.844791,0.310368,-0.426841,-0.0883543,1.98385,1.52777,1.3962,2.32406,0.865252,-0.18936,-0.668871,
-0.2,-0.3,0.4,0.700479,0.509244,-0.424114,0.264815,3.09189,1.35582,0.363012,2.46263,1.15105,-0.619704,0.246645,
-0.2,-0.3,0.5,0.710471,0.667256,0.222215,-0.0249101,3.13919,0.314735,0.474708,2.41745,-1.2225,0.346597,-0.609626,
-0.2,-0.3,0.5,0.844791,0.310368,-0.426841,-0.0883543,1.43382,1.54207,1.3962,2.31078,0.520285,0.0806552,-0.350899,
-0.2,-0.3,0.5,0.700479,0.509244,-0.424114,0.264815,3.11597,0.499362,0.446784,2.41401,0.0613363,-0.704745,-0.725297,
-0.2,-0.3,0.5,0.512994,0.653328,-0.137939,0.539419,3.13705,0.31621,0.307164,2.43728,-0.242096,-0.670631,0.114797,
-0.2,-0.3,0.5,0.637035,0.0647065,-0.592918,0.488312,3.13464,0.323612,0.502632,2.30792,1.105,-0.505115,-0.481631,
-0.2,-0.3,0.6,0.710471,0.667256,0.222215,-0.0249101,2.85771,0.274307,0.335088,2.18343,-1.48635,0.243349,-0.0546992,
-0.2,-0.3,0.6,0.944954,-0.192515,0.041596,-0.261285,3.10302,1.07226,-0.251316,2.04338,-0.483299,1.43605,-0.622229,
-0.2,-0.3,0.6,0.930077,0.0704029,-0.204894,-0.296679,3.13033,1.26622,-0.446784,2.09962,-0.230644,0.67644,-0.664165,
-0.2,-0.3,0.6,0.844791,0.310368,-0.426841,-0.0883543,2.83315,0.952371,0.027924,2.14326,0.0778793,0.101451,-0.764979,
-0.2,-0.3,0.6,0.700479,0.509244,-0.424114,0.264815,2.92163,0.223949,0.446784,2.20498,-0.137046,-0.211721,-0.774294,
-0.2,-0.3,0.6,0.512994,0.653328,-0.137939,0.539419,2.98989,-0.0671853,0.474708,2.19092,-0.417425,-0.0712531,-0.0175286,
-0.2,-0.3,0.6,0.637035,0.0647065,-0.592918,0.488312,2.89698,0.29414,0.363012,2.07221,0.949986,-0.0855125,-0.769634,
-0.2,-0.3,0.6,0.549896,0.218207,-0.0961681,0.80047,3.13301,-0.234642,0.642252,2.06465,0.468402,0.558356,-0.364867,
-0.2,-0.3,0.7,0.930077,0.0704029,-0.204894,-0.296679,3.14038,1.0759,-0.642252,1.83315,-0.600017,0.781838,-0.442188,
-0.2,-0.3,0.7,0.844791,0.310368,-0.426841,-0.0883543,2.8346,0.707482,-0.055848,1.86118,-0.178078,0.377831,-0.77921,
-0.2,-0.3,0.7,0.700479,0.509244,-0.424114,0.264815,2.88471,0.0502246,0.474708,1.89172,-0.252879,0.219252,-0.775636,
-0.2,-0.3,0.7,0.512994,0.653328,-0.137939,0.539419,2.88403,-0.0398453,0.390936,1.85187,-0.416149,0.276886,0.246312,
-0.2,-0.3,0.7,0.637035,0.0647065,-0.592918,0.488312,2.82485,0.58443,-0.083772,1.73792,1.08485,0.565175,-0.779078,
-0.2,-0.3,0.7,-0.143417,-0.591127,0.78482,-0.118565,2.90525,0.335621,0.223392,1.97239,0.108603,-1.40607,-0.570298,
